,sentence,sentiment,1,2,3,4,5,6,7,8,9,10
115,"I've chosen to put my story in the happy tales section even though I am far from happy. However, I have recently been taking magnesium supplements and have found that it has helped a bit. I suffer from constipation-dominated IBS with extreme bloating, pain and wind. I've been 
taking magnesium for about three weeks now and I have found that it is a little easier to go in the mornings.Before, I had to drink lots of warm water and slowly eat cereal with warm soya milk, then sit on the toilet for 45 minutes straining. Now I find that when I try going in the morning it's a teeny weeny bit easier. I go without straining at first but it stops suddenly mid-bowel movement, then I return to feeling awfully constipated. But at least I manage to get some of the waste out which helps towards me feeling less (excuse the pun) crap through the day.I'm going to try 'cleaning' up my diet too as I found that cutting out wheat, dairy, and processed or fried foods helped me a little before. I 
reckon if I stop being so greedy and do the diet in combination with taking the magnesium I may feel a whole lot better.",,magnesium,tale,diet,pain,CEREAL#2,toilet,brake,waste,dairy,food
116,"I am thrilled to be able to write this. I have suffered from constipation for what seems like my whole life - at least the last 15 years. I was always told to eat more fiber by multiple doctors, which I did regularly. It helped a little, but not completely.It was not until recently, after a particularly frustrating, painful, and embarrassing span of constipation, that I dug deeper for more information. I knew there had to be some reason I was not 'normal' as I am a very healthy person otherwise. I read somewhere that milk can have a detrimental effect on some people's GI systems, so I cut milk out of my diet. After a day I was already feeling better, and three weeks later, I'm still regular. No more hard and painful stools, no more straining, no more worry.I have also heard that gluten can be very detrimental to you if you have celiac disease. So if this dairy-free doesn't work for me, that is next on my list. I feel like a new person already. I hope you can find your peace!E-mail Sophie:[email protected]",,constipation,person,email,celiac disease,doctor,doctor,span,people,system,diet
117,"I have suffered from IBS with constipation for three years now. I had no bowel problems until just after I graduated high school. Growing up, I never really had any trouble unless I was staying at a friend's house or on vacation somewhere. I usually wouldn't have a bowel movement for the first few days, but I would eventually and I never had any pain - I just didn't go for a while.This all changed out of nowhere. I don't think there was anything that made my IBS start. Although, my periods did become more painful around the same time. One day I just realized I hadn't gone to the bathroom in five days! I usually would go every day or every other day. For about the first two weeks I just took some Correctol and I was OK for a few days, and then I was constipated again.I went to the family doctor and she just told me to take stool softeners, but they didn't help much at all. I was really miserable at this point. I was going to start college in about a month and I couldn't even enjoy my summer.I was able to get an appointment with the gastroenterologist that my mom sees (she has Crohn's disease). He almost immediately diagnosed me with IBS after a few questions and gave me Zelnorm to take. I did have to schedule a sigmoidoscopy to rule out Crohn's disease since my mom has it. It wasn't pleasant, but everything looked normal.Well, the Zelnorm worked great from the start. I felt pretty normal for about eight months with occasional bloating and gas, but noting too bad. I was even able to cut back on the Zelnorm to once every other day.But the next summer it started to get bad again, so I was taking the Zelnorm every day. About this time I also started to date my current boyfriend. He lived about an hour away from me, so I would spend weekends at his house. The weekends were terrible for my stomach. I was almost never able to have a bowel movement when I was there and the pain and cramps were horrible. This went on for about a year and I eventually started taking laxatives every weekend, just so I wasn't in pain the whole time I saw my boyfriend.Last summer, the Zelnorm stopped helping me. I called my doctor and he told me to take it twice a day. This helped about 25% of the time. But every time I ate something I would have cramps unless I went to the bathroom after I ate. I had to get another appointment because I was feeling worse than ever! He prescribed Amitiza to be taken once a day, along with Zelnorm once a day. He also suggested probiotics.The Amitiza and Zelnorm actually worked, but they would sometimes give me diarrhea so I didn't take them if I was eating out somewhere. The probiotics did make me feel less bloated, but I only took them for a month because they were pretty expensive.I graduated community college last fall and moved in with my boyfriend. Since I'm not in school anymore, my mom's health insurance no longer covers me. This is a big problem because my two prescriptions would cost about $200 a month after the discount (my boyfriend's mom works at the pharmacy so we get her discount of 20% off). My boyfriend suggested I try to stop taking them and see what happens, but I was so scared I would be in pain and never be able to poop! Instead, we bought some stool softeners which don't cost much, and they actually worked this time!I've been taking the stool softeners for about six months and I'm doing pretty good. I still have some bad days, but I've only had to resort to taking a laxative once in six months, so that's pretty good! I also try to eat a lot of fiber and I avoid a lot of dairy because I know that makes the cramping worse. My stomach still feels bloated most days and I have a lot of gas, but overall I'm doing the best ever since my IBS first started. I still feel pretty limited in what I can do. For example, if I wanted to travel I would be very nervous that I would be in pain the whole time and not be able to have a bowel movement. I still worry that my IBS will get bad again, but for now I'm enjoying feeling good.E-mail Jennifer:[email protected]",,pain,boyfriend,mother,Summer,Crohn's disease,health insurance,discount,cramp,stomach,gas
118,"I was diagnosed with IBS about 11 years ago. I had been having horrible pains in my lower stomach, and when a diagnosis of endometriosis, and surgery for, it didn't alleviate the pain I was sent to a gastro specialist who told me that I had IBS. At the time, I thought it was a catch-all; a 'made-up' illness.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));For the next eight years I worked out heavily and ate a low-fat diet, and my symptoms disappeared. Three years ago I took a break from my heavy workouts and let my diet slip. I started to bloat and have horrible constipation, pain and tenderness. I felt too exhausted and miserable to work out at all, yet alone the several hours a day I'd worked out before. Every few weeks, I'd hit the other extreme and have horribly loose stools.After some research, I realized that I was exhibiting classic IBS symptoms and that it was a 'real' illness. I bought Digestive Advantage at the supermarket, and it worked miracles. The bloating left. I have bowel movements every day. The only mistake I made was giving up the medicine when my symptoms stopped. You have to keep taking it, or the symptoms come back.E-mail JS:[email protected]",,pain,diet,email,stomach,diagnosis,endometriosis,surgery,expert,constipation,classic
119,"eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));I'm 22 and I've had IBS-C for half a year now, which I know is nothing compared to those sufferers who've been blessed with this illness for decades, but believe me, I am fully aware of how debilitating it can be and how it sours your life. All my problems stem from constipation, ie: the bloating and spasms go away if the constipation is relieved, and consequently I have been looking for remedies to tackle just that, up until now not entirely successfully.eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_1']));So-called 'Dr Schüssler salts', which are similar to homeopathic remedies, help, and homeopathy (silicea). These often help me, but admittedly they never restored my once perfect bowel movements. Something that helps me go as well, especially in the morning, is warm tea and lots of it (even without milk)I've found that milk relaxes my muscles when I'm troubled by constipation. Although if I drink it in the afternoon or evening it makes my symptoms much worse, as I get the urge to go to the loo but my colon simply won't co-operate. My diet is more than ideal, and that actually worsens my symptoms.Insoluble fiber in large quantities, especially in the evening, makes me want to go, but I can't. It's a nightmare with cauliflower or bran, but actually better with white bread (which I know is not very healthy). The way things used to be, I lived by the rules of food-combining, ie: not eating protein and carbs simultaneously, but something like that again has me desperately straining over a toilet bowl. Outcome: pellets. At the best.What helps though is soluble fiber. Even things like chocolate or sweets cause me no problems, but I don't actually like them and I know they aren't exactly healthy, that's why I consciously came off them a while ago and never again acquired the taste for them. Danone Activia has helped me once or twice, and coffee does as well. There are special yoga poses you can find online, and the ones recommended for constipation do work for me to a certain extent.Ironically enough, what has helped me enormously is exam stress, or more like anxiety before an exam. No more lazy bowels then, curiously enough. Of course this can't last forever, but I just thought I'd jot it down as it's nothing short of intriguing. Constipation apart, for the symptoms which go with it, I've found something excellent for bloating and flatulence, which is Protexin Balance.The types of medication I've been on are too many to count, but the two I could say that actually worked are Meteospasmyl and Buscopan. I must admit though that my body got used to them after a couple of weeks, so I stopped taking them. I did try Digestrol, which is incredibly expensive and did not help me, if anything it made my symptoms worse.I sympathize with all of you. The number of times I've wished I had any other illness but this. But you're not the one that decides, your digestive tract does, and anyway we all know one can't think like that. I do get down sometimes and the future seems bleak. Occasionally I have wished that I'd have diarrhea instead of constipation. But would it be better to be struck by an attack on the bus and not being in control whatsoever...you know how that continues. That's all I wanted to share with you, good luck.E-mail Susie:[email protected]",,constipation,remedy,email,exam,tea,homeopathy,bus,attack,attack,attack
120,"eval(ez_write_tag([[580,400],'ibstales_com-banner-1','ezslot_5']));I am 25 years old and I have been suffering from IBS for the last three years (diagnosed a year and a half ago). It began with irrational diarrhea and now tends to consist of waves from excruciating pain from bloating and constipation, to what feels like a mild stomach upset. I have gone for a whole month at a time without too much bother, only to be hit by an onslaught of symptoms without an apparent lifestyle change that I can pin-point.I have tried several remedies, both self-prescribed and those recommended by my very supportive GP. These include soluble fiber, peppermint (tea and capsules), laxatives of every variety under the sun, Wind-eze and every other brand of the same product, diets consisting of vegetable soups and masses of All-bran, etc!My doctor was shocked when I made a list of the amount of laxatives/over-the-counter wind-relieving products I used on a daily basis and 
made me promise never to touch any of them again...A difficult task indeed as I had become reliant on many of the pills I'd been taking on and off for the previous couple of years! I have been prescribed mebeverine tablets to take as and when I need to relieve the pain from bloating. These worked at first but after six months I am finding them less successful.I took up smoking in a moment of desperation when hit by possibly my worst case of constipation (it had been a long, long time!). A daily diet of strong coffee, strong cigarettes and lots of bran did begin to do the trick, and as a staunch anti-smoker I am sad to say that smoking was quite possibly one of the best remedies I have tried. However, after five months I gave that up too, and what followed was two months of embarrassing wind at work, terrible cramps from my constipation and sudden inexplicable bouts of diarrhea when my body appeared to suddenly give way.I have said that this is a happy tale because the most success I have had recently has been from what feels like an excessive consumption of...water! I wake up, drink about three liters of the stuff and continue in the same vain as the day continues. Together with the yoga poses taught to me earlier in this year when I was in India (the yogi masters there ask you several medical questions before they decide which poses you should practise) and replacing my six cups of builder's tea at work with peppermint tea, I feel much better!I cannot tell you if I have found a remedy that works for me which does not rely on the excessive consumption of chemicals, or if my body has just fallen into one of those spells where my IBS doesn't seem to be as severe as normal, but I can tell you I feel so relieved right now! They say that IBS is exacerbated by stress and worry. It is therefore a terrible cycle - I was constantly asked by my doctor 'Are you stressed?' to which I would reply 'I wouldn't be if only I could go to the toilet normally and not have this pain!' No other part of my life is stressful!The worry that comes with having taken excessive amounts of pills for the last few years has been (I hope not temporarily) relieved by finding natural remedies (that work!) for my problem. Perhaps it is merely this relief which has eased my symptoms - I don't know if I will ever really know, but for the moment I feel better than I have in a long time!",,remedy,pain,constipation,pill,tea,doctor,doctor,bran,consumption,diet
121,"I have been suffering from IBS for about six years, and it got really bad when I came to college. But I have found that following Heather Van Vorous's diet, using her fiber supplements, and doing yoga have had huge impacts on my health. I feel so much better and my symptoms have almost completely disappeared! I can't stress enough how much this has helped and I hope other people will look into her site and also consider yoga for treatment. It takes time for these things to change your symptoms but the change is real.E-mail Kelly:[email protected]",,email,diet,health,people,treatment,,,,,
122,"I am 68 years old and I have suffered from IBS with constipation for most of my life, but I was only diagnosed a few years ago. Besides the bloating and constipation, I was often nauseated, and it got worse the older I became. I used (on the advice of my family doctor) Zelnorm and then Amitiza. They were minimally effective.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));But when I finally went to a specialist, he told me to take Miralax. For a week nothing happened. I called my specialist and he said to give it at least two weeks. I'm glad I did, because a few days after speaking to him I began having regular bowel movements every day! I buy the Miralax at Costco and it is cheaper there. I don't care how much it costs, I have gotten my life back and I am not nauseated and constipated! I still get bloated (especially if I take calcium pills, or eat dairy products), but I am happy! I now take half the recommended dose once a day, in the morning, stirred in my coffee.",,constipation,expert,doctor,doctor,regular,calcium,pill,dairy,product,recommended
123,"eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));I was diagnosed with irritable bowel about a year ago but I suffered the symptoms for much longer. At first I didn't believe the diagnosis, as each time I went into a doctor's office describing my symptoms I received no tests yet they were quite happy to tell me I had IBS. The doctors gave me no hope, pointing out it was related to stress, with several adamantly telling me that my diet would not contribute to my symptoms.eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_1']));I would go from suffering constipation and not passing anything for up to a week, sometimes longer, to finally when the gates opened suffering from diarrhea. Worst of all was the gas, flatulence and belching. The middle of the night and mornings were the worst, until I would regularly set my alarm for 5am so I could try to belch and fart out all of my gas, which would abate the cramps, before I went to work.Later I decided to get fit and slim down as I had gained weight from working full time. I started going to the gym every day. I stopped eating fast food. I limited how much meat I ate. I cut out of my diet completely all oily and fried food and only cooked using extra virgin olive oil, if any oil was used. I cut out almost all dairy as it carries a lot of calories, and I started taking supplements. I also stopped drinking soft drinks and fruit juice as these contributed to a lot of my daily calorie intake.Miraculously the symptoms of my IBS disappeared! Through trial and error with my diet I have been able to pinpoint my symptoms down to a few things...Animal fats and large quantities of animal meat: animal fats will certainly make me feel a bit cramped and bloated but even large amounts of meat will set me off. I just don't eat steaks that much anymore, horrible when living in an Australian family where the traditional meal is a steak with mash potatoes. What I mean by not much is that I would be lucky to eat a steak once every two months. If I was to eat meat often it'd be in a stir fry with lots of veggies, lean and in small amounts.Dairy is still a part of my diet in small, small amounts but again it contains animal fats, especially cheese, and makes me generally suffer gas and cramps. Unlike most sufferers bread doesn't set me off so I find that if I get that oily heavy feeling in my stomach eating some bread to soak it up seems to lessen my feelings of nausea.Oils for some reason also affect my stomach. I can't really describe it except for the feeling of heaviness in the stomach. I just know that my bowels respond to anything oily, especially if the oils are separated from the food. If I was to eat something with oil dripping off of it I would have a stronger reaction than if the oils were mixed into the food such as in a cake.Soft drinks can also set it off. I don't know if it is the sugar (though I still eat sweets with no problems), or if it is because it is carbonated. All I know is if I have two glasses my tummy will make me pay with a vengeance.Recently I had to add another item to the list, which I had a horrible reaction to: cabbage. I had a salad which I made with mainly cabbage and in the morning had quite a violent reaction to it. The first I have had in quite a long time since I have been on my low-calorie diet.To this date I have had no problem with wheat items, though I do like to eat 'brown' carbohydrates or low GI equivalents. So I eat basmati rice instead of jasmine rice, brown/whole grain bread instead of white, and pasta is relatively low GI. Though rice does have a lot of carbohydrates in it.eval(ez_write_tag([[580,400],'ibstales_com-banner-1','ezslot_5']));I guess I'll plan out what I eat for my meals now so perhaps if you are suffering the same symptoms you can try it out. These are very low-calorie options. I tend to keep an eye on my calorie count as although these healthy options stopped my IBS I don't want to starve either. I tend to jack up the calorie count to healthy levels by snacking on a lot of fruit during the day. Bananas are really good as they are about 100 calories each and tend to feel 'light' on the tummy.I tend to categorize everything into 'light' and 'heavy'. 'Heavy' foods I try to eat in moderation and/or cut out of my diet as they tend to set off my IBS. Generally 'heavy' foods give you the feeling you have after eating McDonald's, where it was nice going in but afterwards you get the horrible feeling, then suddenly you are in the bathroom retching, and the cramps, bloating and IBS have struck again.Breakfast: fruit. This will generally be several servings of fruit, a banana, an apple and a pear. Generally I like breakfast to be light and I will stagger it out over a period of a few hours as most of my symptoms are in the morning. Generally I just like to limit what is in the tummy as I find that if there is too much food in there it will kick up my IBS anyway. Also if it has flared up I don't want to put too much ammunition into my stomach in case I do feel the compulsion to vomit.Lunch: homemade pumpkin soup or a large salad or both. I tend to make the pumpkin soup with very little vegetable stock and no milk. I want it to be thick rather than creamy and watery because it is more filling that way and I don't want to starve. I tend to boil the pumpkin in just enough water to cover it. Pour out just a touch of the water, mash it, blend it. Add a tiny touch of stock and there you go. To pack in some flavor I will cook chickpeas on the side and add them into the blend and then put in some Moroccan spices. This makes it taste like a wonderful curry and I'll have that with two slices of bread. I don't tend to pack too much soup as again if I eat until I am bursting rather than satisfied it sets off the IBS.Snack: more fruit. Or if you go to an Asian grocer they sell a product called 'Pocky', read the back labels but their chocolate-covered sticks are generally around 100 calories. This is definitely good if you like chocolate but find the milk fats in the chocolate bars tend to set off your IBS. I find the worse thing for encouraging my symptoms is getting a chocolate craving. I think to myself 'Well I haven't had symptoms in a while, I want my comfort food, and I have been eating well and a little won't hurt'. Then I spend the night in the bathroom suffering cold chills, hugging the toilet.Dinner: simple stir fry with a lot of vegetables. I find Asian greens are quite nice on my stomach as well as cucumber. If we're having steak then I have about enough meat to fit the palm of my hand, this is discounting fingers! I usually chop it up and get rid of all visible fat. I then eat it with a lot of helpings of veggies or salad. I find if I eat meat in one big lump it feels worse on the tummy instead of eating it in small slices broken up by mouthfuls of veggies.I know it seems a bit much to outline what I eat but I find if I deviate from this too much my IBS flares up and truthfully I am tired of taking sick days from work because I can't seem to pry myself away from the toilet.I can't stress enough that the best way to minimize my reactions to eating was to slow down the eating process. I make my meals last for as long as possible, that way some food has already passed through the stomach by the time I have finished eating. Generally I like to think if something is going to set off my tummy it is better that it is sliding through your stomach and bowels in small amounts rather than in one big lump where your body is just going to react and spasm.Finally I found that if I really felt terrible, like I needed to puke, that eating something acidic would help. I have been told that when your stomach is irritated the gallbladder releases bile into the stomach. The bile is what makes you feel terrible. I would usually drink some lemon juice in water or even sip some vinegar. It doesn't sound that appetizing but something highly acidic can break down some of the bile that your body is releasing.I hope this helps other people because I found the doctors were no help whatsoever. I have to admit that I haven't completely gotten rid of my symptoms as I still have constipation, but now I can resume a normal life, not have to plan where the bathroom is, or organize time before work where I could lock myself in a bathroom because I was going through periods of continually being sick. I don't have to carry a toothbrush with me anymore in case something sets off my stomach and I get physically ill.Most of all I hated the uncertainty where I would feel terrible before work and call in sick only to recover during the day. Other times I would feel terrible before work and go in anyway, only to spend large amounts of time walking back and forth to the toilet feeling queasy, not sure if I was going to have diarrhea, puke or possibly both.Doctors are good and helpful don't get me wrong, but at the same time nutrition is not a course that is emphasized in the medical profession. I find that a lot of doctors are happy to give you pills but aren't happy to discuss the effects of diet on the symptoms of IBS. Perhaps even the process of making yourself feel like you are in control by limiting your diet helps alleviate the stress that causes IBS. Either way if you don't feel like you are getting the right answers from your doctors do some additional research or ask for a second opinion. Try to find a medical professional who has actually done some in-depth study into IBS.E-mail Jessica:[email protected]",,stomach,food,diet,toilet,calorie,meat,stomach,doctor,doctor,oil
124,"I suffered from extreme constipation for the past five years, along with bloating and pain. I tried everything. Zelnorm. fiber. Stool softener. Nothing worked. I became dependent on glycerin enemas. A month ago, I saw a new gastroenterologist who prescribed Celexa, an anti-depressant. It's changed my entire life. I have normal bowel movements and feel amazing. Now I can eat without pain.E-mail Malena:Malena[email protected]",,pain,constipation,glycerin,gastroenterologist,depressant,email,,,,
125,"I found out about Digestive Advantage by chance about two months ago when I walked out of the emergency room, frustrated, after waiting for over an hour with a severe IBS attack, realizing they would simply send me home with the same diagnosis: IBS, a condition with no cure, no treatment and no specific causes.I have been suffering from this since about age seven, and the frequency and the symptoms have increased with time. I have tried keeping a journal in order to identify the possible triggers, to no avail. The bloating and excruciating pain have forced me to stay home from work or leave work early. Lately, the bloating was so severe, my regular clothes would not fit and I went almost instantly from a fit size eight to looking five months pregnant! Even after the attack, the pain lingered for about three more days.I have been taking Digestive Advantage since my last bout of IBS and I still cannot believe it! The symptoms are gone! Unfortunately I still get constipated, but exercise, water, and a healthy diet help. In addition to my daily Digestive Advantage capsule, I take L-Glutamine (500 mg) every morning along with one cup of water with the juice of half a lemon plus another glass of water. I take all of these first thing in the morning.Before Digestive Advantage I would simply ride the IBS storm with sleep, a heating pad, and wonton soup. Go figure! I was terrified of eating after each attack. IBS was always the price to pay after over-indulging. And sometimes it would simply happen if I went for long periods of time (eg: six hours) without any food at all. I told a friend about Digestive Advantage and it also worked for her.E-mail Claudia:[email protected]",,attack,email,attack,attack,attack,pain,home,diet,friend,food
126,"I have had IBS for 15 years, and I have been to the doctor many times looking for help! My doctor told me to take Citrucel three times a day, but that was much too much and I had problems with going to the bathroom too often. Then I read about taking an antibiotic - I tried that and it did not help.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));I was told by a friend that she heard that eliminating glucose sometimes helps. Well I have not had glucose since 17 July and today is 2 September, and not one IBS attack. I am thrilled and I can't believe my doctor did not know this. I want to scream - I suffered for 15 years and all I had to do is eliminate glucose. I am not saying it is easy to do this but I can live my life now without constant pain.",,doctor,doctor,glucose,toilet,antibiotic,friend,attack,attack,attack,attack
127,"eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));I submitted a sad tale in the summer when I was going through a particularly low point, and although I am still unable to work (I've been off work for all of 2008 so far) I wanted to let people know that if you stamp your feet hard enough, doctors will help you! I've undergone every test known to man for bowel problems, and the result was that there was nothing 'wrong', so I was diagnosed with IBS. But I was very ill (the pain was more of a problem than any 'toilet' symptoms - some days, I didn't get out of bed!) so asked for help to get some of my life back.eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_1']));I've since been referred to a pain management specialist, who changed my medication to help control the pain and improve the constipation, and he referred me on to a psychiatrist. So far, the psychiatrist has given me more help than anyone else! I'm on anti-depressants and anti-epilepsy medication now, thanks to him, which sounds very odd, but it is working to control the pain.I'm having hypnotherapy (fabulous - I'd recommend it to anyone even without IBS - it's incredibly relaxing!), cognitive behavioral therapy and micro-current therapy, which heals on a cellular level. There is help out there if you look hard enough for it and have doctors who can open the right doors for you.Update on Rebecca...I thought I'd give you an update on my progress and let you all know that I've discovered something incredibly simple that's an amazing help! After 15 months off work due to IBS, I'm finally back at work in a new job (I couldn't think of much worse than being on my feet in a lab all day!) working in regulatory affairs in a pharmaceutical company. I'm just at the end of my sixth week of full-time working, although I have been back at work for several months now.One of the things that has helped me most with sitting at a desk all day is a foam wedge...it's just a wedge-shaped cushion to put on your chair (or car seat, or wherever) which encourages you to sit straight...and as a result, you don't hunch over and squash your tummy. I hadn't realized how much the wedge had helped until I lent it to a pregnant friend, and suffered serious IBS pain and bloating on the days I didn't have it.I wouldn't be without it now - it has really changed the way I cope with being at work, and I'd recommend it to anyone who suffers with IBS bloating and pain. I hope this discovery helps other people as much as it has helped me. I'd also like to add a voice of praise for the IBS audio program 100 - it is fantastic! Thanks for running this website - it's great to have a forum to share hints and tips for coping!E-mail Rebecca:[email protected]",,job,pain,psychiatrist,email,medication,doctor,doctor,foot,foot,people
128,"After 56 years of trying everything, including psyllium, bran cereals, and laxatives occasionally, I am cured! This past spring I saw a nutritionist for weight loss. One of her recommendations is a high fiber cereal (14 grams per serving). No surprise there. As well, when discussing fruit and antioxidants, she told me that prunes have the highest antioxidant value. So I tossed three to four prunes in my cereal and voila!Along with a healthy diet including several fruits and veg daily I am cured of constipation. Along with irritable bowel I have a 'lazy esophagus', which made my digestion very slow. As long as I eat this daily I am fine. No gas, no more bloating, and efficient bowels. What a relief! I just add or subtract a prune or two when necessary.E-mail Shan:[email protected]",,CEREAL#2,fruit,antioxidant,email,bran,spring,weight,weight,loss,gram
129,"I don't understand how IBS can be happy but hey...My mother told me that she pulled her hair out managing me as a baby and the IBS started right up, either diarrhea or constipation and exploding gas. I remember being in third grade, eight years old and sitting at my desk and suddenly getting the urge, and it was horrendous. I raised my  hand to go to the bathroom and the teacher said no...she said your mom says you go to the bathroom too much, so that tells me you are playing in there instead of going to the bathroom.eval(ez_write_tag([[580,400],'ibstales_com-banner-1','ezslot_5']));When she said that I didn't even care who heard it, I was in so much pain I cannot tell you. I began to shake all over, then sweat, then start to cry uncontrollably. She then looked up when she heard me make a sound and her eyes got really huge. She said 'Oh my gosh, OK Vickie you can go to the bathroom this one time'. I ran so fast and when I got there, explosion to the nth degree. But I had to sit for a while, you never ever ever just do your thing and get right up like everyone else, you sit for a while because more is in there tucked away, waiting for you to leave and sit back down only to have to go again.I also remember as a six year-old at my grandma's house with the constipation part. It was so bad that when I tried to have a movement it was too large and it split my rectum causing pretty good bleeding. When my mom came across me in the semi-private bathroom she saw my pain and got the old-fashioned douche bag out with a tube and put water in it to wash me out. What a relief...I don't have one of those things as I was told that it was not healthy for women to use them as they only cause infections, but hey, for flushing out the constipated bowel...oh man...relief in sight...I had this all the time through school. Then at 24 I was told I had IBS. I kept complaining about pain in the upper right quadrant of my stomach, under the ribs there. It could have been my gallbladder as a few years ago it was taken out and I was told it was so huge and full of cholesterol stones.I never watched what I ate, but it never seemed to matter. If you think about it, when you're eating well you still get it, or when you're upset sometimes you don't get it...I do think it has a mind of its own. I was told to take some psyllium, and I was told it would help both diarrhea and constipation, but it didn't. It swelled up in me and totally blocked me so bad I nearly had to go in to get unplugged. Never did that again.I do realize though looking back (I'm now 57 years old with five kids) I learned to live with it. When I was busy I hardly noticed it as I was too concerned with my kids. Distraction is a great tool. I did have to have a bathroom or know where the bathrooms were everywhere I went. I do ask about that today, when someone says let's go for a walk in the forest I go 'Let's take some toilet paper'.One time I didn't go to the bathroom for a while and I knew it was the constipation. I was hurting so bad I went in and an x-ray was done. The doctor says 'Oh no, you're blocked, impacted'. So he immediately gave me some Miralax or something like that. I went home and took some and it did clear me out, and I was told to take it daily, but after three days I had constant diarrhea.E-mail Vickie:[email protected]",,toilet,constipation,pain,mother,email,home,kid,school,constant,doctor
130,"I've suffered from constipation basically my entire life. My mom used to use rectal suppositories on me as a baby and had to make me drink diluted prune juice to help me go. As I got older the problem got worse. No matter how healthily I ate I could not go for days. In retrospect, I think it's because I wasn't drinking enough water or eating enough fiber.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));Even up to a month ago I'd struggle on the toilet, straining until I felt like throwing up. I even tried a gluten-free diet in the summer which helped a lot but I ended up losing weight and nutrients because I wasn't actually gluten intolerant.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));I finally found a few methods that work for me. I no longer take laxatives or stool softeners as they don't do anything for me. Basically, every day I have one or two cups of black coffee (and I hate coffee!). I eat a bowl of Fiber One cereal which really does work. I drink lots of water, both warm and cold. I've also noticed that spicy food and drinking warm water with lemon has helped a lot. I also eat as many fruits and vegetables as I can and limit myself to one or two cups of tea a day.Every day I've been having massive soft BMs. It does not hurt anymore to go to the bathroom. My clothes fit a lot better. I am starting to conquer this.E-mail Anny:[email protected]",,email,toilet,cup,coffee,black,garment,tea,plant,vegetable,fruit
